epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,245.24,2.05544,6.28852,1.82893,0.63414,0.54885,0.60267,0.29477,1.64452,4.32951,1.59056,0.00162069,0.000540231,0.00162069,0.000540231,0.00162069,0.000540231,0.00162069,0.000540231
2,408.986,1.46335,1.66238,1.41663,0.77316,0.66844,0.82696,0.46335,1.48555,2.04058,1.371,0.0032412,0.0010804,0.0032412,0.0010804,0.0032412,0.0010804,0.0032412,0.0010804
3,534.327,1.28944,1.02006,1.2461,0.88904,0.80331,0.8781,0.55212,1.29289,1.42167,1.25202,0.00481455,0.00160485,0.00481455,0.00160485,0.00481455,0.00160485,0.00481455,0.00160485
4,721.7,1.1927,0.88572,1.16253,0.88817,0.81548,0.9067,0.62161,1.28771,1.17743,1.20271,0.00478881,0.00159627,0.00478881,0.00159627,0.00478881,0.00159627,0.00478881,0.00159627
5,862.875,1.175,0.70199,1.12217,0.95114,0.88129,0.93731,0.63947,1.20831,0.94143,1.14754,0.00471809,0.0015727,0.00471809,0.0015727,0.00471809,0.0015727,0.00471809,0.0015727
6,1018.93,1.14111,0.68324,1.10607,0.9215,0.8805,0.93869,0.61637,1.2357,0.92798,1.15154,0.00464736,0.00154912,0.00464736,0.00154912,0.00464736,0.00154912,0.00464736,0.00154912
7,1139.68,1.05502,0.66473,1.05539,0.93696,0.86926,0.93295,0.63861,1.37965,0.94635,1.23287,0.00457663,0.00152554,0.00457663,0.00152554,0.00457663,0.00152554,0.00457663,0.00152554
8,1277.53,1.0391,0.61771,1.04726,0.95464,0.87765,0.93665,0.64675,1.35056,0.99324,1.199,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
9,1392.88,1.02261,0.59022,1.03921,0.92424,0.8502,0.90109,0.64819,1.28233,0.95888,1.13066,0.00443517,0.00147839,0.00443517,0.00147839,0.00443517,0.00147839,0.00443517,0.00147839
10,1506.53,1.04651,0.6234,1.05781,0.89559,0.85218,0.90166,0.66318,1.22086,0.9011,1.11598,0.00436444,0.00145481,0.00436444,0.00145481,0.00436444,0.00145481,0.00436444,0.00145481
11,1637.04,0.99765,0.59407,1.02691,0.9082,0.86818,0.91364,0.67241,1.16362,0.92142,1.08685,0.00429372,0.00143124,0.00429372,0.00143124,0.00429372,0.00143124,0.00429372,0.00143124
12,1765.6,1.01129,0.58773,1.02767,0.94519,0.89283,0.95371,0.6967,1.18198,0.76436,1.10198,0.00422299,0.00140766,0.00422299,0.00140766,0.00422299,0.00140766,0.00422299,0.00140766
13,1883.92,1.02741,0.57909,1.03984,0.90967,0.93907,0.95458,0.6788,1.18946,0.77087,1.11841,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409,0.00415226,0.00138409
